CURSO;COMPONENTE CURRICULAR ;ETAPA;Jan;DIA;Horário;Verificação;PROFESSOR;Fev;DIA;Horário;Verificação;Mar;DIA;Horário;Verificação;Abr;DIA;Horário;Verificação;Mai;DIA;Horário;Verificação;Jun;DIA;Horário;Verificação;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;COMPORTAMENTO ORGANIZACIONAL;1;Jan;;;? OK;NATACHA BERTOIA DA SILVA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;COMPORTAMENTO ORGANIZACIONAL;1;Jan;;;? OK;NATACHA BERTOIA DA SILVA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
LOGISTICA;INTRODUCAO A LOGISTICA;1;Jan;;;? OK;NATHALIE BARBOSA REIS MONTEIRO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
LOGISTICA;INTRODUCAO A LOGISTICA;1;Jan;;;? OK;NATHALIE BARBOSA REIS MONTEIRO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
LOGISTICA;INTRODUCAO A LOGISTICA;1;Jan;;;? OK;NATHALIE BARBOSA REIS MONTEIRO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
LOGISTICA;INTRODUCAO A LOGISTICA;1;Jan;;;? OK;NATHALIE BARBOSA REIS MONTEIRO;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;FUNDAMENTOS DE CONTABILIDADE E FINANCAS;1;Jan;;;? OK;PATRICIA SATOMI NISHIMURA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;FUNDAMENTOS DE CONTABILIDADE E FINANCAS;1;Jan;;;? OK;PATRICIA SATOMI NISHIMURA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;FUNDAMENTOS DE CONTABILIDADE E FINANCAS;1;Jan;;;? OK;PATRICIA SATOMI NISHIMURA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
EIXO COMUM;FUNDAMENTOS DE CONTABILIDADE E FINANCAS;1;Jan;;;? OK;PATRICIA SATOMI NISHIMURA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;3 e 1;;;;;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;3 e 1;;;;;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;3 e 1;;;;;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;3 e 1;;;;;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;1;Jan;;;? OK;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;1;Jan;;;? OK;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;1;Jan;;;? OK;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO COMERCIAL/MARKETING;DEFIN DE CONSUM E SEU COMPORTAMENTO;1;Jan;;;? OK;TOMAZ AFFONSO PENNER;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
PROCESSOS GERENCIAIS;ECONOMIA;1;Jan;;;? OK;WALESKA ANDREZA FERREIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
PROCESSOS GERENCIAIS;ECONOMIA;1;Jan;;;? OK;WALESKA ANDREZA FERREIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
PROCESSOS GERENCIAIS;ECONOMIA;1;Jan;;;? OK;WALESKA ANDREZA FERREIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
PROCESSOS GERENCIAIS;ECONOMIA;1;Jan;;;? OK;WALESKA ANDREZA FERREIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO FINANCEIRA;ECONOMIA E MERCADO;1;Jan;;;? OK;WALESKA ANDREZA FERREIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO FINANCEIRA;ECONOMIA E MERCADO;1;Jan;;;? OK;WALESKA ANDREZA FERREIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
GESTAO FINANCEIRA;ECONOMIA E MERCADO;1;Jan;;;? OK;WALESKA ANDREZA FERREIRA;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
